refinementfactor,covered,sat,unsat,unknownpercent,regionnum,time,mem
1, 0, 0, 0, 100, 1, 0.004, 65
0.99, 0.01, 0, 1.17188, 98.8281, 9691, 0.142, 94
0.98, 0.02, 0, 2.34375, 97.6562, 12751, 0.196, 101
0.97, 0.03, 0, 3.125, 96.875, 14281, 0.202, 106
0.96, 0.04, 0, 4.29688, 95.7031, 15811, 0.202, 110
0.95, 0.05, 0, 5.07812, 94.9219, 17341, 0.241, 129
0.94, 0.06, 0, 6.25, 93.75, 20401, 0.271, 137
0.93, 0.07, 0, 7.03125, 92.9688, 21931, 0.289, 142
0.92, 0.08, 0, 8.20312, 91.7969, 22441, 0.283, 142
0.91, 0.09, 0, 9.375, 90.625, 22441, 0.284, 142
0.9, 0.1, 0, 10.1562, 89.8438, 23206, 0.291, 145
0.89, 0.11, 0, 11.3281, 88.6719, 23461, 0.299, 146
0.88, 0.12, 0, 12.1094, 87.8906, 23971, 0.295, 146
0.87, 0.13, 0, 13.2812, 86.7188, 23971, 0.295, 146
0.86, 0.14, 0, 14.0625, 85.9375, 27541, 0.338, 156
0.85, 0.15, 0, 15.2344, 84.7656, 30856, 0.360, 165
0.84, 0.16, 0, 16.0156, 83.9844, 32386, 0.371, 169
0.83, 0.17, 0, 17.1875, 82.8125, 33916, 0.531, 203
0.82, 0.18, 0, 18.3594, 81.6406, 36211, 0.508, 209
0.81, 0.19, 0, 19.1406, 80.8594, 36466, 0.529, 209
0.8, 0.2, 0, 20.3125, 79.6875, 37996, 0.534, 213
0.79, 0.21, 0, 21.0938, 78.9062, 39526, 0.572, 216
0.78, 0.22, 0, 22.2656, 77.7344, 41821, 0.576, 222
0.77, 0.23, 0, 23.0469, 76.9531, 42076, 0.626, 223
0.76, 0.24, 0, 24.2188, 75.7812, 42586, 0.602, 225
0.75, 0.25, 0, 25, 75, 42586, 0.585, 224
0.74, 0.26, 0, 26.1719, 73.8281, 43096, 0.575, 225
0.73, 0.27, 0, 27.3438, 72.6562, 43096, 0.680, 226
0.72, 0.28, 0, 28.125, 71.875, 43096, 0.631, 225
0.71, 0.29, 0, 29.2969, 70.7031, 43606, 0.663, 226
0.7, 0.3, 0, 30.0781, 69.9219, 43606, 0.710, 226
0.69, 0.31, 0, 31.25, 68.75, 44116, 0.848, 227
0.68, 0.32, 0, 32.0312, 67.9688, 44116, 0.636, 228
0.67, 0.33, 0.0411987, 32.959, 66.9998, 272596, 4.682, 1256
0.66, 0.34, 0.0442505, 33.9569, 65.9988, 556921, 9.564, 2487
0.65, 0.35, 0.0442505, 34.9564, 64.9994, 658921, 9.987, 2735
0.64, 0.36, 0.0656128, 35.9344, 63.9999, 973081, 13.374, 3503
0.63, 0.37, 0.0656128, 36.9354, 62.999, 1159486, 18.136, 5033
0.62, 0.38, 0.0656128, 37.9349, 61.9995, 1349206, 19.374, 5493
0.61, 0.39, 0.0656128, 38.9359, 60.9985, 1414231, 20.402, 5654
0.6, 0.4, 0.0656128, 39.9353, 59.9991, 1533316, 23.893, 5936
0.59, 0.41, 0.0656128, 40.9348, 58.9996, 1675861, 23.333, 6263
0.58, 0.42, 0.0656128, 41.9357, 57.9987, 1731706, 24.050, 6405
0.57, 0.43, 0.0656128, 42.9352, 56.9992, 1810501, 26.779, 6578
